qualtrics_id,school_code,school_name_anon,progress,duration_min,birth_country,age_cat,age,female,male,educ_mother,educ_father,educ_parent_max,has_computer,has_internet,digital_comfort,platform_use,classroom_section,math_grade_prev,like_math,like_communication,rank_math,rank_communication,mathconf_learn,mathconf_exam,mathconf_help_peers,mathconf_growth,lab_productive,lab_preferred_hours,hours_school,hours_study,hours_friends,hours_entertainment,hours_housework,hours_unpaid_work,hours_paid_work,hours_sleep,hours_sport,math_study_weekly,study_context,digital_tools_used,grit_challenge,grit_quit_game,grit_lose_interest,grit_hardwork,grit_avg,mindset_fixed1,mindset_fixed2,mindset_avg,locus_luck,locus_fate,locus_prepared,locus_plans,locus_avg,efficacy_hard_problems,efficacy_effort,efficacy_calm,efficacy_solutions,efficacy_trouble,efficacy_avg,math_enjoy,math_wish_no,math_like_problems,math_does_well,math_harder_than_peers,math_worry_grades,math_nervous_exams,math_useful,math_enjoy_avg,math_anxiety_avg,math_selfconcept_avg,meta_study_allocation,meta_when_stuck,meta_hint_use,meta_review_errors,meta_self_awareness,meta_after_mistake,meta_ai_use,meta_expected_exam,meta_actual_exam,barrier_finish_school,info_postsecondary,plan_after_school,knows_career,career_first_choice,institution_first_choice,plan_feasibility,plan_talks_with,parent_educ_expectation,enrolled_academy,belief_univ_transition,factors_career_choice,action_3months,plans_higher_ed,salary_secondary,salary_technical,salary_university,informal_secondary,informal_technical,informal_university,preferred_sector,knows_jobs_sector,barrier_money,barrier_work_family,barrier_parent_ideas,barrier_grades,barrier_info_careers,barrier_info_institution,barrier_family_resp,knows_scholarship,knows_beca18,knows_alt_training,est_years_technical,est_years_university,time_pref_100v150,time_pref_100v300,risk_pref_100v250,risk_pref_100v500,patient_low,patient_high,risk_seeking_low,risk_seeking_high,belong_outsider,belong_fits_in,belonging_avg,num_close_friends,friend1_recess,friend1_homework,friend1_future_talk,friend1_whatsapp,friend2_recess,friend2_homework,friend2_future_talk,friend2_whatsapp,friend3_recess,friend3_homework,friend3_future_talk,friend3_whatsapp,friend4_recess,friend4_homework,friend4_future_talk,friend4_whatsapp,friend5_recess,friend5_homework,friend5_future_talk,friend5_whatsapp,correct_a1,qbl_v5_a1,correct_a2,qbl_v5_a2,correct_a7,qbl_v5_a7,correct_a8,qbl_v5_a8,correct_a8m,qbl_v5_a8m,correct_a4,qbl_v5_a4,correct_a9s,qbl_v5_a9s,correct_a3,qbl_v5_a3,correct_a6,qbl_v5_a6,correct_a5,qbl_v5_a5,score_total_baseline,score_pct_baseline
R_100011abc1107,3004070,School_01,100,30.5,1,2.0,16.0,1,1,2,2.0,2,1,1,1,4,B,4,1,3,8,4,3,2,1,4,4,1,7.0,1.0,2.0,2.0,2.5,0.0,0.5,10.5,2.0,1,3,1,2,5,5,5,2.25,1,3,5.0,3,4,4,4,3.25,4,2,1,1,3,2.2,5,1,2,3,4,3,3,4,4.0,3.0,2.5,2,1,1,3,1,1,2,3,5,1,2,1,2,,3,2,1,4,1,9,8,,0,286.0,,1958.0,9,10,4,1,3,4,5,3,5,3,3,2,1,1,2,3,4,1,2,3,2,0,1,0,1,3,2,2.5,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,2,0,4,1,2,0,2,0,4,1,1,1,3,0,3,0,1,1,1,5,0.5
R_100012abc4019,3004070,School_01,100,22.6,1,2.0,16.0,1,1,4,7.0,7,0,0,5,3,C,2,3,2,7,9,2,2,2,3,5,1,7.0,2.5,1.5,6.0,1.0,0.5,0.0,7.5,1.0,1,4,2,3,1,4,1,2.75,5,4,2.5,2,5,3,1,2.25,3,4,1,1,2,2.2,3,1,5,1,2,3,4,1,4.3333335,3.5,2.5,1,2,3,1,2,2,2,2,3,1,3,4,3,,3,5,4,3,0,6,3,,1,992.0,2125.0,,0,5,5,9,2,3,1,4,1,5,3,1,2,2,1,3,6,1,2,2,1,0,1,1,0,1,1,3.0,5,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,2,1,1,1,2,0,2,0,4,1,1,1,3,0,1,1,4,0,3,6,0.60000002
R_100013abc7976,3004070,School_01,100,31.5,1,3.0,17.0,1,1,1,7.0,7,0,1,3,2,D,1,3,3,9,3,3,1,4,3,4,5,8.0,1.5,2.0,4.5,2.0,0.5,1.0,8.0,1.0,3,3,3,2,5,4,5,2.5,1,4,4.5,5,4,2,3,2.0,3,4,1,2,3,2.5999999,4,4,3,1,3,1,5,3,3.0,3.0,2.0,2,3,1,2,3,2,4,1,4,1,4,5,3,,4,3,2,3,0,1,4,,0,799.0,1120.0,3311.0,2,5,10,6,1,2,5,5,1,2,4,3,3,2,3,2,5,1,2,2,2,0,1,1,1,3,4,3.5,5,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,2,1,1,1,2,1,2,1,1,0,4,1,3,1,1,1,4,1,1,9,0.89999998
R_100014abc873,3004070,School_01,100,37.5,1,1.0,15.0,1,1,10,,10,1,1,1,1,E,1,4,4,1,1,3,1,4,4,5,6,6.0,1.5,1.5,5.0,1.5,0.0,0.0,7.5,1.0,1,2,3,1,3,4,4,2.5,5,3,3.0,3,4,3,2,2.5,1,3,2,4,3,2.5999999,5,4,3,5,4,5,4,1,3.3333333,4.5,3.5,3,4,3,1,1,1,2,5,4,1,3,2,1,,2,5,2,3,0,1,7,,1,896.0,1267.0,2798.0,3,1,10,7,1,1,5,2,1,2,3,1,2,3,2,2,6,2,1,3,1,1,0,0,0,5,1,1.0,2,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,2,1,1,0,1,1,2,0,4,1,1,1,3,1,1,0,2,0,1,6,0.60000002
R_100015abc4960,3004070,School_01,100,43.599998,1,1.0,15.0,0,0,3,4.0,4,1,1,5,2,A,3,3,3,4,6,3,3,1,2,3,3,6.0,2.5,3.0,4.5,2.0,1.0,2.0,7.0,2.0,3,1,2,4,5,5,3,2.25,5,1,4.0,3,5,3,3,2.5,1,1,1,2,2,1.4,4,2,4,5,5,1,4,3,4.0,2.5,3.0,1,3,2,1,2,4,1,4,5,1,4,2,1,,4,4,1,3,1,7,1,,1,1283.0,1141.0,,8,8,4,8,2,1,2,4,5,3,1,2,1,3,2,3,4,3,3,1,3,0,0,0,0,4,4,3.0,3,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,2,0,4,0,1,1,2,1,1,0,1,0,3,0,1,0,3,0,3,3,0.30000001
R_100016abc9232,3004070,School_01,100,14.1,1,1.0,15.0,1,1,6,2.0,6,1,0,5,1,B,4,3,1,6,10,1,3,1,1,1,7,9.0,4.0,2.0,3.5,1.0,0.0,0.5,8.5,0.5,5,3,4,2,5,5,2,1.5,2,2,5.0,1,4,4,2,3.25,4,2,4,3,1,2.8,4,5,1,3,2,5,4,3,2.0,4.5,3.5,1,1,4,4,3,3,4,5,1,2,1,4,2,,1,5,1,4,0,9,8,,1,818.0,1481.0,1308.0,10,9,8,5,1,3,4,2,2,1,2,1,3,1,1,2,7,1,2,2,3,0,1,1,0,2,3,3.5,6,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,2,1,1,1,2,1,2,1,1,1,1,0,1,1,1,1,4,1,1,9,0.89999998
R_100017abc8536,3004070,School_01,100,29.4,1,1.0,15.0,1,1,3,10.0,10,0,0,4,3,C,3,2,1,2,6,3,1,2,3,4,7,7.0,3.0,2.0,4.5,1.0,0.5,0.0,7.5,0.0,3,1,5,5,1,1,4,4.75,2,5,3.5,3,4,3,3,2.75,3,1,2,3,1,2.0,1,5,5,5,3,5,5,2,2.3333333,5.0,4.0,3,2,2,3,1,2,3,5,4,2,3,3,1,,3,4,1,3,0,3,4,,1,,1389.0,3811.0,7,9,6,10,3,1,1,4,3,2,1,5,3,1,1,3,7,3,3,1,2,0,0,0,1,5,2,1.5,5,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,2,1,1,1,2,0,2,0,1,1,1,1,3,1,1,1,4,1,1,8,0.80000001
R_100018abc5454,3004070,School_01,100,31.0,1,2.0,16.0,1,1,5,7.0,7,0,1,3,4,D,2,1,1,9,6,3,1,4,2,4,1,7.5,1.0,1.5,1.5,2.5,0.0,0.5,6.5,1.5,2,4,4,2,5,1,1,2.25,5,6,1.5,4,4,3,1,2.0,4,1,3,4,4,3.2,3,3,2,5,5,4,3,4,2.6666667,3.5,3.0,3,1,3,1,2,4,2,4,3,1,5,4,3,,3,1,6,4,0,5,3,,1,1213.0,1705.0,4358.0,0,10,3,1,3,3,2,1,5,1,3,1,2,3,1,2,5,1,3,3,1,0,0,0,0,1,5,5.0,3,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,2,1,1,1,2,0,1,1,1,0,3,1,3,0,1,0,3,1,1,5,0.5
R_100019abc6344,3004070,School_01,100,33.799999,1,2.0,16.0,1,1,12,6.0,12,1,1,2,4,E,3,4,2,3,1,2,3,2,2,3,6,7.0,1.5,1.5,1.0,2.0,0.5,1.5,7.5,1.5,5,3,5,5,4,5,1,2.25,3,4,3.5,4,5,4,5,3.0,4,2,1,2,3,2.4000001,1,4,2,5,4,2,1,4,1.6666666,1.5,3.5,4,4,4,3,3,3,2,3,1,2,4,5,2,,3,4,2,1,0,4,4,,0,925.0,285.0,2994.0,10,8,4,5,2,2,2,5,4,5,1,3,1,3,3,4,7,1,2,3,3,0,1,0,0,4,2,2.0,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,2,0,2,0,3,1,1,0,1,1,1,0,1,1,1,5,0.5
R_100020abc7674,3004070,School_01,100,30.299999,1,3.0,17.0,1,1,9,4.0,9,1,1,3,1,A,1,2,3,8,7,1,3,3,1,5,7,7.5,1.0,0.5,5.0,2.0,1.0,2.0,7.5,0.0,3,1,3,3,2,2,5,4.0,3,2,4.5,4,5,4,3,2.5,4,2,3,3,3,3.0,5,5,5,3,2,4,1,4,3.6666667,2.5,3.5,4,3,3,2,1,3,1,3,3,1,1,5,1,,4,2,6,3,0,1,5,,0,561.0,,4285.0,7,5,8,3,1,2,2,2,5,2,4,2,3,3,1,5,6,2,1,1,1,1,0,0,0,1,2,3.5,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,2,0,1,0,3,0,4,0,2,0,1,0,2,0,1,0,0.0
R_100021abc520,3004070,School_01,100,13.2,1,2.0,16.0,0,0,12,6.0,12,0,1,1,2,B,3,2,3,10,2,4,2,4,1,1,5,7.0,1.0,3.0,5.0,1.0,0.5,0.0,10.0,2.0,5,2,2,1,5,4,1,1.25,2,5,3.5,1,5,5,4,3.75,4,1,2,4,1,2.4000001,1,4,1,4,5,4,2,4,1.3333334,3.0,2.5,3,3,3,3,2,2,2,2,5,1,3,1,3,,2,2,1,2,0,4,2,,0,1283.0,1613.0,3631.0,1,0,6,2,3,1,2,2,1,1,2,3,3,1,2,4,4,1,1,3,2,0,0,0,1,1,3,4.0,3,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,2,1,1,1,2,1,2,1,1,1,1,1,3,0,4,1,4,0,4,8,0.80000001
R_100022abc486,3004070,School_01,100,23.700001,1,1.0,15.0,0,0,4,10.0,10,1,1,3,3,C,1,3,3,7,9,1,3,4,1,2,7,7.5,0.5,3.5,4.0,1.5,0.5,0.0,9.0,1.0,3,3,1,4,1,2,1,3.5,4,6,2.0,5,3,3,4,2.75,4,1,1,1,3,2.0,3,5,1,4,2,5,1,3,1.6666666,3.0,4.0,3,4,1,3,3,1,1,2,4,1,3,5,3,,4,4,5,2,1,10,8,,0,933.0,2773.0,,0,4,0,1,1,5,1,1,2,4,5,1,1,2,1,5,7,1,1,1,3,0,0,0,0,2,4,4.0,4,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,1,1,10,1.0
R_100023abc4696,3004070,School_01,100,31.1,1,2.0,16.0,0,0,3,9.0,9,0,1,2,2,D,1,4,3,6,7,4,3,1,2,5,5,6.5,4.0,1.0,5.0,2.0,0.0,1.0,9.0,2.0,1,1,3,1,1,2,5,3.75,1,6,3.5,5,3,4,3,2.75,2,1,3,4,2,2.4000001,5,5,1,2,2,3,3,2,2.3333333,3.0,3.0,3,4,3,2,1,4,1,1,1,1,3,2,2,,4,2,2,2,0,8,5,,1,879.0,,2719.0,1,7,9,4,2,3,2,2,2,4,1,4,3,2,3,3,6,3,3,3,3,0,0,0,0,4,5,3.5,4,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,2,1,1,0,1,0,1,1,1,1,1,1,3,0,1,1,4,1,1,7,0.69999999
R_100024abc9716,3004070,School_01,100,13.1,1,4.0,18.0,0,0,10,8.0,10,1,0,4,2,E,1,1,1,4,2,1,2,2,2,3,2,6.5,2.5,0.0,0.5,2.5,0.0,0.5,7.0,0.5,1,2,2,4,5,4,5,3.0,5,4,2.5,3,4,5,1,2.75,3,2,3,1,3,2.4000001,3,3,1,3,1,1,1,2,2.3333333,1.0,4.0,3,1,1,3,1,4,1,1,1,1,3,2,3,,2,1,2,4,0,0,6,,1,1713.0,1214.0,2450.0,4,8,1,1,3,3,5,1,5,3,5,1,3,2,1,4,5,2,1,2,3,1,0,1,0,5,2,1.5,5,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,2,0,4,1,2,1,2,0,3,1,1,1,3,1,1,0,2,1,1,7,0.69999999
R_100025abc3619,3004070,School_01,100,35.900002,1,3.0,17.0,0,0,8,12.0,12,1,1,1,2,A,3,3,2,8,1,2,2,2,1,2,1,7.0,1.5,1.5,2.5,2.0,0.0,0.5,6.0,2.5,5,4,2,3,4,3,3,2.75,6,3,2.5,5,4,3,5,2.75,1,3,2,1,4,2.2,2,3,5,5,4,4,4,3,3.3333333,4.0,3.5,1,4,2,2,1,4,4,2,5,1,2,1,2,,3,4,3,3,0,8,7,,0,909.0,1474.0,2964.0,6,0,7,6,2,3,3,1,1,5,5,2,2,2,1,2,7,3,1,3,3,0,0,0,0,3,5,4.0,3,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,2,1,1,1,2,1,2,0,4,1,1,1,3,1,1,1,4,1,1,9,0.89999998
R_100026abc2690,3004070,School_01,100,38.299999,1,2.0,16.0,0,0,2,9.0,9,0,1,1,2,B,2,2,3,5,10,2,3,4,1,2,7,6.5,2.5,2.5,2.0,1.5,0.0,0.0,7.5,0.5,4,2,2,3,5,4,4,2.5,3,1,5.0,1,1,3,2,3.75,4,3,3,2,2,2.8,3,4,1,2,1,2,1,4,2.0,1.5,3.5,1,1,3,3,2,2,3,5,1,1,1,5,3,,3,4,1,3,1,8,2,,0,1506.0,1850.0,2617.0,4,4,3,8,1,3,5,2,1,5,2,3,3,2,3,5,4,1,1,2,1,0,0,1,0,3,4,3.5,3,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,0,3,0,3,0,2,0,3,0,3,1,1,5,0.5
R_100027abc7897,3004070,School_01,100,34.599998,1,,,1,1,6,3.0,6,1,1,5,3,C,3,3,2,6,5,4,4,4,3,3,3,7.5,2.0,3.5,2.5,0.5,0.0,1.0,9.0,1.0,5,1,3,4,2,4,3,3.25,5,3,3.0,1,2,2,5,4.0,3,3,4,2,2,2.8,2,1,5,3,1,1,3,4,4.0,2.0,4.0,1,4,3,4,2,1,1,3,5,1,5,3,3,,3,3,6,2,1,6,6,,1,1035.0,,2712.0,10,1,6,5,2,3,1,4,4,2,5,1,2,1,2,4,6,2,1,3,3,1,0,0,0,4,3,2.5,3,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,2,0,1,1,2,1,2,0,3,0,1,0,1,0,4,0,3,1,1,4,0.40000001
R_100028abc8971,3004070,School_01,36,28.299999,1,1.0,15.0,0,0,6,8.0,8,1,0,4,3,D,3,3,1,2,5,1,1,2,1,1,5,6.0,2.5,1.5,1.5,2.5,0.0,1.0,9.0,0.5,2,2,4,4,3,1,5,4.25,5,2,3.5,5,2,3,2,2.5,3,2,1,1,1,1.6,4,5,5,5,1,2,1,1,3.3333333,1.5,5.0,1,2,1,4,1,3,1,2,2,1,3,5,2,,1,4,2,1,0,2,3,,0,,1194.0,2761.0,5,6,8,5,3,1,3,3,5,2,5,3,3,1,1,2,6,2,3,2,1,1,0,1,0,4,2,2.0,6,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,2,1,1,0,1,1,2,1,1,1,1,0,1,1,1,1,4,1,1,8,0.80000001
